City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
424,lulea,65.5842,22.1547,-7.96,79,100,2.06,SE,1707167124
425,tanjung pandan,-2.75,107.65,26.33,84,100,3.97,ID,1707167130
426,jesup,31.6074,-81.8854,12.06,76,100,3.09,US,1707167131
427,pandan,14.0453,124.1694,25.31,87,80,5.41,PH,1707167131
428,arkhangel'sk,64.5401,40.5433,-24.93,80,0,2.0,RU,1707167131
429,birjand,32.8663,59.2211,-2.74,31,0,2.06,IR,1707167131
430,orel,52.9658,36.0803,-6.22,98,91,4.85,RU,1707167132
431,priozersk,61.0393,30.1291,-3.28,79,100,3.89,RU,1707167132
432,berdigestyakh,62.0989,126.6992,-38.61,100,71,0.91,RU,1707167132
433,moapa valley,36.5805,-114.4703,10.3,51,99,3.47,US,1707167132
434,nieuw amsterdam,5.8833,-55.0833,28.09,78,40,3.09,SR,1707167132
435,kalabo,-14.97,22.6814,22.45,71,56,2.24,ZM,1707167132
436,prince george,53.9166,-122.753,-2.99,81,40,3.09,CA,1707166928
437,mossel bay,-34.1831,22.146,22.96,85,49,4.4,ZA,1707167133
438,taoudenni,22.6783,-3.9836,21.46,10,99,4.77,ML,1707167133
439,fang,19.9169,99.2145,15.01,46,3,0.85,TH,1707167133
440,umaria,23.5333,80.8333,16.13,86,7,1.68,IN,1707167133
441,midvagur,62.0511,-7.1939,0.46,86,100,12.86,FO,1707167134
442,sarina,-21.4333,149.2167,26.45,1,0,1.26,AU,1707167134
443,saynshand,44.8824,110.1163,-23.03,94,15,1.63,MN,1707167134
444,chilca,-12.5211,-76.7372,25.48,72,18,3.34,PE,1707167134
445,sao gabriel da cachoeira,-0.1303,-67.0892,27.84,91,95,0.81,BR,1707166837
446,castelo do piaui,-5.3222,-41.5525,34.09,24,100,3.06,BR,1707167135
447,hakui,36.8833,136.7833,2.34,94,92,1.26,JP,1707167135
448,st. john's,47.5649,-52.7093,1.27,97,100,8.05,CA,1707167135
449,sao raimundo nonato,-9.0153,-42.6994,31.06,39,65,3.58,BR,1707167100
450,gizo,-8.103,156.8419,28.22,81,100,5.85,SB,1707167135
451,raja,8.4596,25.678,22.79,22,7,1.89,SS,1707167136
452,port macquarie,-31.4333,152.9167,24.38,80,95,4.7,AU,1707167136
453,peniche,39.3558,-9.3811,13.95,92,100,0.23,PT,1707167136
454,peace river,56.2501,-117.286,-3.83,54,100,5.66,CA,1707167136
455,abuja,9.0574,7.4898,27.08,14,6,4.25,NG,1707167136
456,uzgen,40.7699,73.3007,-2.84,64,100,2.15,KG,1707167137
457,tolanaro,-25.0319,46.9987,24.04,88,75,9.26,MG,1707167137
458,qom,34.6401,50.8764,9.14,40,100,7.09,IR,1707167137
459,sitges,41.2351,1.8119,16.67,69,100,0.45,ES,1707167137
460,devin,41.7433,24.4,7.49,66,3,1.54,BG,1707167138
461,broken hill,-31.95,141.4333,14.54,53,0,10.48,AU,1707167138
462,inhambane,-23.865,35.3833,24.89,86,3,2.61,MZ,1707167138
463,gadzhiyevo,69.2551,33.3362,-19.59,100,98,2.93,RU,1707167138
464,la gi,10.6667,107.7833,22.9,88,54,4.26,VN,1707167138
465,el matama,16.7095,33.3565,20.31,14,75,7.74,SD,1707167138
466,uturoa,-16.7333,-151.4333,27.18,86,100,13.13,PF,1707167139
467,oltinko'l,40.8011,72.1634,2.37,57,100,1.96,UZ,1707167139
468,katsuren-haebaru,26.3369,127.8719,16.01,69,41,5.82,JP,1707167139
469,eyl,7.9803,49.8164,25.19,72,63,6.03,SO,1707166948
470,rio grande,-32.035,-52.0986,28.06,78,79,4.32,BR,1707166840
471,ghormach,35.7306,63.7826,7.08,36,0,2.72,AF,1707167139
472,ulsteinvik,62.3432,5.8487,-1.49,93,85,3.13,NO,1707167139
473,mumbwa,-14.9783,27.0619,20.03,69,9,2.31,ZM,1707167140
474,brak,27.5496,14.2714,12.41,43,0,3.13,LY,1707167140
475,bamboo flat,11.7,92.7167,23.05,88,2,0.0,IN,1707167140
476,amboasary,-25.0333,46.3833,23.01,94,100,2.97,MG,1707167140
477,khulm,36.6974,67.6983,6.84,50,3,4.26,AF,1707167140
478,olinda,-8.0089,-34.8553,28.85,74,40,4.63,BR,1707166887
479,atherton,53.5237,-2.4935,11.83,80,100,4.02,GB,1707167141
480,coquimbo,-29.9533,-71.3436,21.85,73,20,6.17,CL,1707166997
481,westport,41.1415,-73.3579,6.99,41,0,6.17,US,1707166934
482,porto novo,6.4965,2.6036,28.9,67,44,2.33,BJ,1707167141
483,nuuk,64.1835,-51.7216,-12.66,78,75,6.17,GL,1707166842
484,tazacorte,28.629,-17.9293,20.08,25,0,3.09,ES,1707167141
485,khagrachhari,23.1,91.9667,14.33,76,1,0.55,BD,1707167141
486,banikoara,11.2985,2.4386,25.07,14,68,3.16,BJ,1707167142
487,cabinda,-5.55,12.2,26.08,89,100,1.54,AO,1707167137
488,orito,0.6766,-76.8771,26.17,84,89,0.97,CO,1707167142
489,grande prairie,55.1667,-118.8027,-7.9,79,75,1.03,CA,1707166893
490,olyokminsk,60.3736,120.4264,-27.18,98,91,0.82,RU,1707167142
491,marsh harbour,26.5412,-77.0636,23.22,61,99,6.86,BS,1707167136
492,poyang,28.9924,116.6675,3.31,94,100,3.65,CN,1707167107
493,langsa,4.4683,97.9683,23.4,96,100,1.23,ID,1707167143
494,bozeman,45.6796,-111.0386,8.68,77,0,0.45,US,1707166440
495,abaza,52.655,90.0928,-13.34,90,42,2.14,RU,1707167143
496,palikir - national government center,6.9248,158.1611,26.41,76,100,7.19,FM,1707167143
497,aswan,24.0934,32.907,14.61,33,0,2.57,EG,1707167143
498,miyako,39.6367,141.9525,-0.43,73,100,2.73,JP,1707167144
499,bodaybo,57.8506,114.1933,-13.52,93,100,0.88,RU,1707167144
500,ha tinh,18.3333,105.9,21.33,98,42,0.99,VN,1707167144
501,ahvaz,31.3203,48.6693,9.97,76,0,0.0,IR,1707167144
502,i-n-salah,27.1935,2.4607,15.74,25,3,6.28,DZ,1707167144
503,male,4.1748,73.5089,28.97,79,75,7.2,MV,1707166872
504,arteche,12.2645,125.4048,25.28,87,100,4.71,PH,1707167144
505,harstad,68.799,16.5293,-2.69,94,61,5.36,NO,1707167145
506,berasia,23.6333,77.4333,18.01,81,6,1.75,IN,1707167145
507,fisterra,42.9049,-9.2629,10.42,78,100,1.47,ES,1707167145
508,rosebank,-33.9556,18.4742,22.83,79,20,1.34,ZA,1707167145
509,queenstown,-31.8976,26.8753,19.15,80,3,1.0,ZA,1707167103
510,igarka,67.4667,86.5833,-26.04,98,49,2.46,RU,1707167145
511,siyabuswa,-25.1132,29.0445,25.78,35,32,1.93,ZA,1707167145
512,basco,20.4487,121.9702,24.14,85,87,10.15,PH,1707167146
513,vila real,41.3006,-7.7441,10.63,81,100,1.37,PT,1707167146
514,pangody,65.85,74.4859,-24.48,99,57,4.02,RU,1707167146
515,natal,-5.795,-35.2094,29.12,74,20,6.17,BR,1707167146
516,torghay,49.6339,63.4981,0.06,97,100,8.18,KZ,1707167146
517,port douglas,-16.4833,145.4667,26.54,83,77,1.86,AU,1707167136
